Project,Price,Year,Month,Lease,FloorSqm
THE DAIRY FARM,1.70E+06,2013,11,Freehold,146.001
GILSTEAD TWO,2.30E+06,2012,6,Freehold,146.001
HALLMARK RESIDENCES,3.00E+06,2016,3,Freehold,146.001
URBAN SUITES,4.00E+06,2012,2,Freehold,146.001
HILLVIEW GREEN,1.40E+06,2013,7,Leasehold,147.001
CASA NOVACREST,1.80E+06,2010,2,Freehold,147.001
ASPEN HEIGHTS,2.30E+06,2017,6,Leasehold,147.001
RIVER PLACE,2.60E+06,2016,3,Leasehold,147.001
ENG HOON MANSIONS,1.10E+06,2012,11,Freehold,148.001
JALAN BESAR PLAZA,1.70E+06,2015,4,Freehold,148.001
ASPEN HEIGHTS,2.40E+06,2018,4,Leasehold,148.001
MARINA BAY SUITES,3.70E+06,2011,12,Leasehold,148.001
FIFTH AVENUE CONDOMINIUM,1.50E+06,2009,2,Freehold,149.001
SHELFORD SUITES,2.20E+06,2012,8,Freehold,149.001
RIVERGATE,2.60E+06,2009,3,Freehold,149.001
OUE TWIN PEAKS,4.00E+06,2018,5,Leasehold,149.001
HILLVIEW GREEN,1.20E+06,2012,12,Leasehold,150.001
ONE TREE HILL MANSIONS,1.90E+06,2014,3,Leasehold,150.001
MIRO,2.30E+06,2011,6,Freehold,150.001
DUO RESIDENCES,3.10E+06,2015,12,Leasehold,150.001
URBAN SUITES,4.10E+06,2012,1,Freehold,150.001
THE ARTE,1.40E+06,2011,4,Freehold,151.001
THE MEZZO,1.70E+06,2015,3,Freehold,151.001
DUKES RESIDENCE,2.50E+06,2012,6,Freehold,151.001
MARINA BAY SUITES,4.00E+06,2013,11,Leasehold,151.001
BALESTIER POINT,1.40E+06,2016,4,Freehold,152.001
THE EQUATORIAL,2.20E+06,2013,2,Freehold,152.001
THREE THREE ROBIN,3.30E+06,2016,10,Freehold,152.001
CASHEW HEIGHTS CONDOMINIUM,1.20E+06,2012,1,Leasehold,153.001
CASHEW HEIGHTS CONDOMINIUM,1.50E+06,2014,3,Leasehold,153.001
COSTA RHU,1.80E+06,2009,12,Leasehold,153.001
SOMMERVILLE PARK,2.50E+06,2017,11,Freehold,153.001
CITYLIGHTS,794906,2009,5,Freehold,154.001
CASHEW HEIGHTS CONDOMINIUM,1.20E+06,2011,10,Leasehold,154.001
CASHEW HEIGHTS CONDOMINIUM,1.60E+06,2017,12,Leasehold,154.001
CASHEW HEIGHTS CONDOMINIUM,1.80E+06,2015,8,Leasehold,154.001
FLORIDIAN,2.30E+06,2011,12,Freehold,154.001
JIA,2.70E+06,2010,7,Freehold,154.001
PATERSON RESIDENCE,4.10E+06,2015,5,Freehold,154.001
GLENDALE PARK,1.60E+06,2013,1,Freehold,155.001
FLORIDIAN,2.30E+06,2011,8,Freehold,155.001
THE HOLLAND COLLECTION,3.80E+06,2012,4,Freehold,155.001
GREEN LODGE,1.30E+06,2012,5,Freehold,156.001
BELLERIVE,2.40E+06,2011,5,Freehold,156.001
THE COSMOPOLITAN,3.00E+06,2011,8,Freehold,156.001
PATERSON SUITES,4.40E+06,2012,12,Freehold,156.001
SIGNATURE PARK,1.50E+06,2012,8,Freehold,157.001
D'LEEDON,2.60E+06,2015,4,Leasehold,157.001
MERALODGE,1.00E+06,2009,6,Freehold,158.001
SIGNATURE PARK,1.60E+06,2010,4,Freehold,158.001
VALLEY PARK,2.00E+06,2009,3,Leasehold,158.001
VALLEY PARK,2.40E+06,2010,4,Leasehold,158.001
PARVIS,2.60E+06,2011,12,Freehold,158.001
VALLEY PARK,2.70E+06,2016,10,Leasehold,158.001
PARVIS,3.20E+06,2016,5,Freehold,158.001
HILLCREST ARCADIA,1.10E+06,2009,4,Leasehold,159.001
HILLCREST ARCADIA,1.70E+06,2014,11,Leasehold,159.001
SANCTUARY GREEN,2.10E+06,2017,6,Leasehold,159.001
D'LEEDON,2.70E+06,2015,3,Leasehold,159.001
GREEN LODGE,833622,2009,1,Freehold,160.001
HUME PARK II,1.60E+06,2013,5,Freehold,160.001
SOLEIL @ SINARAN,2.20E+06,2009,8,Leasehold,160.001
MARTIN PLACE RESIDENCES,2.40E+06,2011,6,Freehold,160.001
MARTIN PLACE RESIDENCES,2.50E+06,2011,6,Freehold,160.001
368 THOMSON,2.70E+06,2017,9,Freehold,160.001
MARTIN PLACE RESIDENCES,3.20E+06,2018,3,Freehold,160.001
DUO RESIDENCES,4.20E+06,2016,3,Leasehold,160.001
CHANTILLY RISE,1.90E+06,2015,6,Freehold,161.001
LEONIE GARDENS,2.70E+06,2009,5,Leasehold,161.001
THE SUITES AT CENTRAL,3.20E+06,2009,6,Freehold,161.001
CAIRNHILL CREST,3.60E+06,2009,5,Freehold,161.001
CAIRNHILL CREST,4.10E+06,2009,6,Freehold,161.001
DUCHESS CREST,1.70E+06,2009,7,Leasehold,162.001
PARK NATURA,2.00E+06,2017,3,Freehold,162.001
DUET,2.70E+06,2014,9,Freehold,162.001
SCOTTS HIGHPARK,3.80E+06,2009,5,Freehold,162.001
SHERWOOD TOWER,1.20E+06,2013,10,Leasehold,163.001
HILLINGTON GREEN,1.60E+06,2012,10,Leasehold,163.001
SHELFORD 23,2.20E+06,2011,7,Freehold,163.001
D'LEEDON,2.80E+06,2015,5,Leasehold,163.001
THE LUMOS,5.50E+06,2009,8,Freehold,163.001
THE PETALS,1.70E+06,2013,11,Freehold,164.001
TRIBECA,2.70E+06,2009,2,Freehold,164.001
CITYLIGHTS,884619,2009,6,Freehold,165.001
THE HILLSIDE,1.80E+06,2013,6,Freehold,165.001
CASABELLA,2.40E+06,2012,8,Freehold,165.001
GOODWOOD GARDENS,3.00E+06,2011,8,Freehold,165.001
ARDMORE THREE,5.80E+06,2018,5,Freehold,165.001
THE SERENADE @ HOLLAND,1.70E+06,2012,2,Leasehold,166.001
MAPLEWOODS,2.20E+06,2009,7,Freehold,166.001
JARDIN,3.40E+06,2009,12,Freehold,166.001
BLOSSOM RESIDENCES,1.20E+06,2014,5,Leasehold,167.001
CLEMENTI PARK,1.90E+06,2012,7,Freehold,167.001
RIVERGATE,3.00E+06,2009,1,Freehold,167.001
THE TRILLIUM,3.50E+06,2009,4,Freehold,167.001
CENTRAL GREEN CONDOMINIUM,1.50E+06,2009,4,Leasehold,168.001
NEWTON ONE,3.20E+06,2014,9,Freehold,168.001
THE ORCHARD RESIDENCES,6.60E+06,2009,4,Leasehold,168.001
TERRENE AT BUKIT TIMAH,2.20E+06,2012,7,Leasehold,169.001
ST THOMAS SUITES,3.10E+06,2009,3,Freehold,169.001
ST THOMAS SUITES,3.70E+06,2009,4,Freehold,169.001
SHERWOOD TOWER,1.00E+06,2012,8,Leasehold,170.001
PALM SPRING,2.40E+06,2012,8,Freehold,170.001
WATERFALL GARDENS,2.70E+06,2009,4,Freehold,170.001
CAIRNHILL ASTORIA,3.20E+06,2014,11,Freehold,170.001
COSTA RHU,1.60E+06,2011,6,Leasehold,171.001
COSTA RHU,2.40E+06,2017,3,Leasehold,171.001
VIVA,2.90E+06,2011,9,Freehold,171.001
FERRELL RESIDENCES,3.50E+06,2011,10,Freehold,171.001
DYNASTY LODGE,1.10E+06,2009,1,Freehold,172.001
FLORIDIAN,3.30E+06,2013,6,Freehold,172.001
THE BEVERLY,1.80E+06,2011,8,Freehold,173.001
ROCHELLE AT NEWTON,2.80E+06,2014,5,Leasehold,173.001
THE PETALS,963614,2009,3,Freehold,174.001
CLEMENTI PARK,1.70E+06,2012,2,Freehold,174.001
THE ARTE,1.90E+06,2011,5,Freehold,174.001
THE ARTE,2.20E+06,2015,5,Freehold,174.001
MAYFAIR GARDENS,783613,2009,1,Leasehold,175.001
DUCHESS CREST,2.30E+06,2017,8,Leasehold,175.001
THE VERMONT ON CAIRNHILL,4.20E+06,2013,3,Freehold,175.001
RIVER PLACE,2.10E+06,2009,5,Leasehold,176.001
PEBBLE BAY,2.50E+06,2012,7,Leasehold,176.001
FERNHILL COTTAGE,2.90E+06,2014,7,Freehold,176.001
MANDALE HEIGHTS,1.50E+06,2009,3,Freehold,177.001
BALMORAL 8,2.80E+06,2009,4,Freehold,177.001
MERALODGE,1.30E+06,2010,3,Freehold,178.001
21 ANDERSON ROYAL OAK RESIDENCE,3.00E+06,2009,1,Freehold,178.001
HELIOS RESIDENCES,5.80E+06,2009,7,Freehold,178.001
THE TRESOR,3.70E+06,2013,11,Leasehold,179.001
MERA WOODS,1.60E+06,2009,11,Leasehold,180.001
KISMIS COURT,683610,2009,5,Leasehold,181.001
SOPHIA RESIDENCE,2.40E+06,2011,8,Freehold,181.001
SOMMERVILLE PARK,3.40E+06,2015,7,Freehold,181.001
ALLSWORTH PARK,2.10E+06,2009,4,Leasehold,182.001
VIVA,3.10E+06,2011,8,Freehold,182.001
CYAN,4.90E+06,2012,3,Freehold,182.001
ORCHARD TOWERS,2.30E+06,2009,5,Freehold,183.001
GOODWOOD RESIDENCE,4.40E+06,2017,8,Freehold,183.001
VILLA AZURA,2.00E+06,2009,9,Freehold,184.001
CAIRNHILL CREST,3.60E+06,2011,8,Freehold,184.001
VIVA,2.90E+06,2011,9,Freehold,185.001
PARVIS,3.10E+06,2012,4,Freehold,185.001
MARTIN PLACE RESIDENCES,2.70E+06,2011,6,Freehold,186.001
MARTIN PLACE RESIDENCES,4.10E+06,2015,12,Freehold,186.001
NICON GARDENS,981606,2014,1,Leasehold,187.001
PARVIS,3.10E+06,2012,1,Freehold,187.001
ST THOMAS SUITES,3.70E+06,2016,11,Freehold,187.001
THE PROMONT,4.20E+06,2013,9,Freehold,187.001
8 NAPIER,7.10E+06,2009,12,Freehold,187.001
D'LEEDON,2.90E+06,2015,4,Leasehold,188.001
THE LIGHT @ CAIRNHILL,5.50E+06,2012,10,Freehold,188.001
PALM SPRING,2.70E+06,2014,3,Freehold,189.001
THE BOULEVARD RESIDENCE,6.00E+06,2009,6,Freehold,189.001
ASTRID MEADOWS,3.50E+06,2017,5,Freehold,190.001
GREEN LODGE,1.50E+06,2012,8,Freehold,191.002
COSTA RHU,2.40E+06,2013,8,Leasehold,191.002
PARK NATURA,1.90E+06,2009,12,Freehold,192.002
MARINA BAY SUITES,5.50E+06,2012,5,Leasehold,192.002
THE PROMONT,4.50E+06,2012,2,Freehold,193.002
DUCHESS CREST,2.30E+06,2014,6,Leasehold,194.002
CUSCADEN RESIDENCES,4.90E+06,2011,9,Freehold,194.002
TRILIGHT,3.80E+06,2014,10,Freehold,195.002
RIVER PLACE,2.30E+06,2010,7,Leasehold,196.002
LEEDON RESIDENCE,3.90E+06,2014,9,Freehold,196.002
VILLA AZURA,2.10E+06,2011,9,Freehold,197.002
CITYVISTA RESIDENCES,5.20E+06,2009,7,Freehold,197.002
URBAN RESORT CONDOMINIUM,6.60E+06,2013,4,Freehold,197.002
LA SUISSE,2.30E+06,2013,3,Leasehold,198.002
LEEDON RESIDENCE,4.10E+06,2016,9,Freehold,198.002
THE EDGE ON CAIRNHILL,4.60E+06,2015,11,Freehold,198.002
CHIVERTON,2.00E+06,2011,6,Freehold,199.002
ST REGIS RESIDENCES SINGAPORE,5.30E+06,2012,3,Leasehold,199.002
ST REGIS RESIDENCES SINGAPORE,5.70E+06,2012,5,Leasehold,200.002
COSTA RHU,1.80E+06,2011,4,Leasehold,201.002
THE RAINFOREST,1.40E+06,2014,4,Leasehold,202.002
VOLARI,4.80E+06,2011,8,Freehold,202.002
HOLLAND HILL LODGE,1.80E+06,2012,7,Freehold,203.002
THE WILSHIRE,2.40E+06,2009,5,Freehold,204.002
WATERFALL GARDENS,3.50E+06,2009,2,Freehold,204.002
SIXTH AVENUE VILLE,1.70E+06,2011,7,Freehold,205.002
COSTA RHU,2.70E+06,2013,2,Leasehold,206.002
THE TRILLIUM,3.80E+06,2009,4,Freehold,206.002
WATER PLACE,3.40E+06,2014,5,Leasehold,207.002
VERDURE,2.90E+06,2011,5,Freehold,208.002
RESIDENCES @ EVELYN,3.00E+06,2009,2,Freehold,209.002
ORANGE GROVE RESIDENCES,4.60E+06,2009,2,Freehold,209.002
PEARL BANK APARTMENT,2.50E+06,2009,8,Leasehold,210.002
NASSIM JADE,5.40E+06,2013,12,Freehold,210.002
BELLE VUE RESIDENCES,5.70E+06,2012,12,Freehold,211.002
VOLARI,4.60E+06,2011,8,Freehold,212.002
CAIRNHILL PLAZA,3.60E+06,2009,5,Freehold,213.002
BELLE VUE RESIDENCES,4.30E+06,2011,6,Freehold,214.002
PEBBLE BAY,2.60E+06,2013,5,Leasehold,215.002
NASSIM JADE,5.00E+06,2013,2,Freehold,216.002
MINBU VILLA,2.60E+06,2015,10,Freehold,217.002
TRILIGHT,4.20E+06,2012,9,Freehold,217.002
CHANCERY PARK,2.90E+06,2012,3,Freehold,218.002
FLORIDIAN,4.40E+06,2013,1,Freehold,219.002
HORIZON TOWER,3.10E+06,2012,6,Leasehold,220.002
HORIZON TOWER,2.40E+06,2011,10,Leasehold,221.002
THE TRILLIUM,4.20E+06,2009,5,Freehold,222.002
ONE DEVONSHIRE,4.40E+06,2011,7,Freehold,223.002
111 EMERALD HILL,5.60E+06,2016,1,Freehold,224.002
VENTUNO BALMORAL,4.10E+06,2014,5,Freehold,226.002
ZENITH,2.80E+06,2012,4,Leasehold,228.002
LA SUISSE,2.20E+06,2012,4,Leasehold,229.002
HILLCREST ARCADIA,2.00E+06,2011,8,Leasehold,231.002
CLEMENTI PARK,1.80E+06,2009,3,Freehold,232.002
PANDAN VALLEY,2.10E+06,2011,12,Freehold,233.002
GOODWOOD RESIDENCE,6.60E+06,2017,6,Freehold,233.002
ORCHARD VIEW,5.90E+06,2014,8,Freehold,235.002
LEONIE GARDENS,2.70E+06,2009,2,Leasehold,236.002
MIRAGE TOWER,3.50E+06,2009,5,Freehold,237.002
IRIDIUM,3.30E+06,2015,3,Freehold,239.002
WATERFALL GARDENS,3.60E+06,2009,2,Freehold,240.002
GRANGE RESIDENCES,7.00E+06,2014,12,Freehold,240.002
PEACE CENTRE/MANSIONS,1.90E+06,2013,11,Leasehold,242.002
ST THOMAS SUITES,4.70E+06,2009,5,Freehold,242.002
THE TRESOR,3.10E+06,2009,1,Leasehold,243.002
PEBBLE BAY,3.40E+06,2012,9,Leasehold,244.002
CITYVISTA RESIDENCES,6.80E+06,2009,7,Freehold,244.002
NEWTON VIEW,2.90E+06,2009,5,Freehold,246.002
SKYPARK,5.40E+06,2013,8,Freehold,246.002
LEEDON RESIDENCE,6.30E+06,2018,4,Freehold,247.002
LEEDON RESIDENCE,5.30E+06,2017,12,Freehold,248.002
SOMMERVILLE PARK,4.40E+06,2014,10,Freehold,249.002
MARINA BAY SUITES,7.10E+06,2011,12,Leasehold,249.002
THE ORANGE GROVE,6.30E+06,2011,8,Freehold,250.002
D'GROVE VILLAS,4.70E+06,2011,11,Freehold,251.002
THE BEVERLY,2.00E+06,2011,8,Freehold,254.002
GALLOP GABLES,3.30E+06,2011,4,Freehold,255.002
DUCHESS RESIDENCES,5.10E+06,2009,8,Leasehold,256.002
PEBBLE BAY,3.10E+06,2009,3,Leasehold,257.002
PARVIS,5.10E+06,2017,1,Freehold,259.002
CAIRNHILL PLAZA,4.20E+06,2010,8,Freehold,262.002
CLIVEDEN AT GRANGE,9.90E+06,2009,12,Freehold,264.002
GRANGE RESIDENCES,7.60E+06,2016,8,Freehold,265.002
GALLOP GABLES,3.60E+06,2011,4,Freehold,266.002
FOUR SEASONS PARK,8.40E+06,2013,11,Freehold,267.002
ARDMORE PARK,6.90E+06,2011,7,Freehold,268.002
ARDMORE PARK,8.30E+06,2016,11,Freehold,268.002
ARDMORE PARK,9.40E+06,2012,8,Freehold,268.002
DRAYCOTT EIGHT,7.10E+06,2012,3,Leasehold,269.002
DRAYCOTT EIGHT,7.60E+06,2009,12,Leasehold,270.002
HIGH POINT,4.00E+06,2011,11,Freehold,272.002
WATTEN RESIDENCES,2.90E+06,2011,7,Freehold,274.002
DUCHESS RESIDENCES,4.70E+06,2009,8,Leasehold,276.002
GALLOP GREEN,4.30E+06,2011,7,Freehold,278.002
THE GREENWOOD,3.10E+06,2013,5,Leasehold,280.002
HILLCREST VILLA,2.90E+06,2016,7,Leasehold,282.002
GILSTEAD BROOKS,3.20E+06,2012,10,Freehold,285.002
HILLCREST VILLA,2.60E+06,2009,10,Leasehold,287.002
HILLCREST VILLA,3.30E+06,2012,8,Leasehold,287.002
HILLCREST VILLA,2.80E+06,2009,10,Leasehold,289.002
THE TENERIFFE,2.90E+06,2014,12,Leasehold,290.002
HILLCREST VILLA,2.60E+06,2009,10,Leasehold,293.002
HILLCREST VILLA,3.00E+06,2009,10,Leasehold,293.002
BALMORAL HILLS,4.40E+06,2009,5,Freehold,294.002
THE BEVERLY,2.90E+06,2013,12,Freehold,296.002
MADISON RESIDENCES,5.60E+06,2011,9,Freehold,299.002
PARVIS,4.80E+06,2012,4,Freehold,300.002
THE TATE RESIDENCES,7.60E+06,2015,7,Freehold,301.002
SUNCOTTAGES,2.90E+06,2013,6,Leasehold,304.002
CAIRNHILL PLAZA,5.50E+06,2015,10,Freehold,307.002
SKYPARK,6.10E+06,2014,1,Freehold,311.002
THE TENERIFFE,2.90E+06,2014,2,Leasehold,314.002
GALLOP GABLES,4.10E+06,2011,5,Freehold,317.003
THE ARCADIA,4.20E+06,2017,5,Leasehold,322.003
WING ON LIFE GARDEN,4.60E+06,2012,1,Freehold,325.003
THE BOTANIC ON LLOYD,6.30E+06,2012,1,Freehold,329.003
LEONIE GARDENS,6.00E+06,2009,6,Leasehold,336.003
ELEVEN @ HOLLAND,4.00E+06,2013,8,Leasehold,344.003
THE ARCADIA,4.20E+06,2016,1,Leasehold,347.003
BINJAI CREST,2.10E+06,2009,5,Leasehold,351.003
THE ARCADIA,4.00E+06,2016,8,Leasehold,351.003
THE ARCADIA,3.00E+06,2011,5,Leasehold,355.003
1 MOULMEIN RISE,4.90E+06,2014,5,Freehold,361.003
VILLAS @ GILSTEAD,3.90E+06,2010,5,Freehold,369.003
MADISON RESIDENCES,6.90E+06,2012,11,Freehold,376.003
ILLOURA,4.30E+06,2009,8,Freehold,388.003
HONG KONG PARK,4.60E+06,2012,6,Leasehold,393.003
ILLOURA,5.40E+06,2009,11,Freehold,407.003
LORNIE 18,5.00E+06,2014,6,Freehold,422.003
VENTURA HEIGHTS,3.00E+06,2011,6,Freehold,432.003
URBAN RESORT CONDOMINIUM,8.60E+06,2018,2,Freehold,438.003
PALMS @ SIXTH AVENUE,5.40E+06,2017,8,Freehold,451.004
LEEDON RESIDENCE,7.20E+06,2014,10,Freehold,466.004
ESTRIVILLAS,3.60E+06,2011,12,Freehold,485.004
